Designator,Mid X,Mid Y,Rotation,Layer
C246,188.288,78.18525,180.0,bottom
C247,179.538,79.44525,180.0,bottom
C248,183.888,71.91525,180.0,bottom
C249,183.888,74.42525,180.0,bottom
C25,18.2325,21.86,270.0,bottom
C250,183.888,76.93525,180.0,bottom
C251,183.888,79.44525,180.0,bottom
C252,196.68,71.82725,180.0,bottom
C253,196.68,74.33725,180.0,bottom
C254,196.68,76.84725,180.0,bottom
C255,196.68,79.35725,180.0,bottom
C256,201.03,71.82725,180.0,bottom
C257,209.78,72.07725,180.0,bottom
C258,201.03,74.33725,180.0,bottom
C259,207.687515,62.837251,180.0,bottom
C26,20.2025,21.86,270.0,bottom
C260,209.78,75.08725,180.0,bottom
C261,201.03,76.84725,180.0,bottom
C262,209.78,78.09725,180.0,bottom
C263,201.03,79.35725,180.0,bottom
C264,205.38,71.82725,180.0,bottom
C265,205.38,74.33725,180.0,bottom
C266,205.38,76.84725,180.0,bottom
C267,205.38,79.35725,180.0,bottom
C268,218.554,72.03325,180.0,bottom
C269,218.554,74.54325,180.0,bottom
C27,22.1725,21.86,270.0,bottom
C270,218.554,77.05325,180.0,bottom
C271,218.554,79.56325,180.0,bottom
C272,222.904,72.03325,180.0,bottom
C273,231.654,72.28325,180.0,bottom
C274,222.904,74.54325,180.0,bottom
C275,229.561515,65.481251,180.0,bottom
C276,231.654,75.29325,180.0,bottom
C277,222.904,77.05325,180.0,bottom
C278,231.654,78.30325,180.0,bottom
C279,222.904,79.56325,180.0,bottom
C28,57.66,104.0475,90.0,top
C280,227.254,72.03325,180.0,bottom
C281,227.254,74.54325,180.0,bottom
C282,227.254,77.05325,180.0,bottom
C283,227.254,79.56325,180.0,bottom
C284,151.711515,49.609251,180.0,bottom
C285,151.711515,52.119251,180.0,bottom
C286,151.711515,54.629251,180.0,bottom
C287,151.711515,57.139251,180.0,bottom
C288,156.061515,49.609251,180.0,bottom
C289,164.811515,49.859251,180.0,bottom
C29,47.81,104.0475,90.0,top
C290,156.061515,52.119251,180.0,bottom
C291,162.651515,42.541735,180.0,bottom
C292,164.811515,52.869251,180.0,bottom
C293,156.061515,54.629251,180.0,bottom
C294,164.811515,55.879251,180.0,bottom
C295,156.061515,57.139251,180.0,bottom
C296,160.411515,49.609251,180.0,bottom
C297,160.411515,52.119251,180.0,bottom
C298,160.411515,54.629251,180.0,bottom
C299,160.411515,57.139251,180.0,bottom
C3,-15.88,23.58,0.0,top
C30,37.96,104.0475,90.0,top
C300,152.403515,96.080985,180.0,bottom
C301,152.403515,98.590985,180.0,bottom
